key,en
LANDING_SITE_COORDINATES_NOT_AVAILABLE,landing site coordinates not available
LANDING_SITE_LABEL,Landing site
LANDING_SITE_PLACEHOLDER_LABEL,Select a landing site
LANDING_SITES_LABEL,Landing site
LANDING1_RELEASE_RESULT_MISSIG_YEAR,Landings 1 released results missing for year
LANDINGS1_CHARTS_SUBTITLE,Access line charts by landing site
LANDINGS1_CHARTS_TITLE,Descriptor charts
LANDINGS1_MAP_LANDING_SITE_LABEL,Landing site
LANDINGS1_MAP_MODE_LABEL,Data status
LANDINGS1_MAP_VALUE_LABEL,Value
LANDINGS1_MAP_YEAR_LABEL,Year
LANDINGS1_MAP_YEAR_PLACEHOLDER_LABEL,Select a year
LANDINGS1_MAPS_SUBTITLE,Access maps of landings by landing site / year
LANDINGS1_MAPS_TITLE,Descriptor maps
LANDINGS1_SPECIES_MAPS_LANDING_SITE_LABEL,Landing site
LANDINGS1_SPECIES_MAPS_MODE_LABEL,Data status
LANDINGS1_SPECIES_MAPS_OTHERS_LABEL,OTHERS
LANDINGS1_SPECIES_MAPS_SUBTITLE,Access maps of landings with species distributions by landing site / year
LANDINGS1_SPECIES_MAPS_TITLE,Descriptor Species maps
LANDINGS1_SPECIES_MAPS_YEAR_LABEL,Year
LANDINGS1_SPECIES_MAPS_YEAR_PLACEHOLDER_LABEL,Select a year
LAST_RELEASE_LABEL,Last release
LAST_UPDATE,last update
LAST_YEAR_TOTAL_CATCH,Last year total catch
LENGTH_OVERALL,Length Overall (m)
LICENCES_DATA_EXPORT_FILENAME,vessel_license_permits_%s
LICENCES_PDF_TITLE,Vessel '%s' (%s) License Permits (as of %s)
LICENCES_TABLE_COLNAME_1,Permit Number
LICENCES_TABLE_COLNAME_2,Application Date
LICENCES_TABLE_COLNAME_3,Permit Date
LICENCES_TABLE_COLNAME_4,Valid From (Date)
LICENCES_TABLE_COLNAME_5,Valid To (Date)
LICENCES_TABLE_COLNAME_6,Gears
LICENCES_TABLE_COLNAME_7,Validity
LICENSE_STATUS_EXPIRED,expired
LICENSE_STATUS_EXPIRED_TOOLTIP,The license is expired
LICENSE_STATUS_NO_LICENSE,no license
LICENSE_STATUS_VALID,valid
LICENSE_STATUS_VALID_TOOLTIP,The license is valid
